timestamp,method,num_slices,num_vnfs_per_slice,seed,u,v,bw_used,bw_capacity,bw_utilization
2026-05-19 13:59:04,First Fit,16,2,1,8,11,60.0,1000.0,0.06
2026-05-19 13:59:04,First Fit,16,2,1,7,6,45.0,500.0,0.09
2026-05-19 13:59:04,First Fit,16,2,1,6,2,45.0,500.0,0.09
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,3,11,15.0,500.0,0.03
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,10,11,60.0,500.0,0.12
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,2,1,60.0,1000.0,0.06
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,5,8,15.0,1000.0,0.015
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,8,11,75.0,1000.0,0.075
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,11,8,15.0,1000.0,0.015
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,7,10,45.0,1000.0,0.045
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,4,2,15.0,500.0,0.03
2026-05-19 13:59:04,Energy-Aware A*,16,2,1,1,2,15.0,1000.0,0.015
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,11,8,45.0,1000.0,0.045
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,3,11,15.0,500.0,0.03
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,10,11,15.0,500.0,0.03
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,8,11,195.0,1000.0,0.195
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,2,4,60.0,500.0,0.12
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,4,5,75.0,500.0,0.15
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,5,8,90.0,1000.0,0.09
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,7,8,45.0,500.0,0.09
2026-05-19 13:59:04,MILP_Gurobi,16,2,1,1,2,15.0,1000.0,0.015
2026-05-19 13:59:33,A*,32,2,1,3,1,15.0,250.0,0.06
2026-05-19 13:59:33,A*,32,2,1,10,11,45.0,500.0,0.09
2026-05-19 13:59:33,A*,32,2,1,2,6,15.0,500.0,0.03
2026-05-19 13:59:33,A*,32,2,1,5,6,30.0,500.0,0.06
2026-05-19 13:59:33,A*,32,2,1,2,1,45.0,1000.0,0.045
2026-05-19 13:59:33,A*,32,2,1,8,11,75.0,1000.0,0.075
2026-05-19 13:59:33,A*,32,2,1,11,10,30.0,500.0,0.06
2026-05-19 13:59:33,A*,32,2,1,7,6,45.0,500.0,0.09
2026-05-19 13:59:33,A*,32,2,1,4,3,15.0,500.0,0.03
2026-05-19 13:59:33,A*,32,2,1,1,3,45.0,250.0,0.18
2026-05-19 13:59:33,A*,32,2,1,1,2,45.0,1000.0,0.045
2026-05-19 13:59:33,A*,32,2,1,12,10,15.0,1000.0,0.015
2026-05-19 13:59:33,A*,32,2,1,12,3,15.0,500.0,0.03
