num_slices,num_vnfs_per_slice,max_accepted_in_scenario,method,total_energy,total_latency,runtime_sec,total_bandwidth,accepted,energy_per_accepted,latency_per_accepted,accepted_round,energy_norm_to_max_accept,gain_energy_norm_vs_worst_%,acceptance_ratio_%,acceptance_gap
18,3,18,A*,36.148750000000014,44.0,0.252133846282959,1960.0,18.0,2.0082638888888895,2.4444444444444446,18.0,36.148750000000014,30.98090692124103,100.0,0.0
18,3,18,Energy-Aware A*,39.92375000000001,61.0,0.951585054397583,2810.0,18.0,2.2179861111111117,3.388888888888889,18.0,39.92375000000001,23.773269689737457,100.0,0.0
18,3,18,First Fit,43.59125,87.0,0.0056452751159667,2830.0,18.0,2.421736111111111,4.833333333333333,18.0,43.59125,16.770883054892607,100.0,0.0
18,3,18,Best Fit,50.00499999999999,95.0,0.0079238414764404,2750.0,18.0,2.778055555555555,5.277777777777778,18.0,50.00499999999999,4.525059665871157,100.0,0.0
18,3,18,FABO,50.16374999999999,74.0,18.206748485565186,2090.0,18.0,2.7868749999999998,4.111111111111111,18.0,50.16374999999999,4.221957040572819,100.0,0.0
18,3,18,ABO,52.37500000000001,77.0,19.153775691986084,2090.0,18.0,2.9097222222222228,4.277777777777778,18.0,52.37500000000001,0.0,100.0,0.0
20,2,20,Energy-Aware A*,12.675000000000002,50.0,0.1664667129516601,2000.0,20.0,0.6337500000000001,2.5,20.0,12.675000000000002,60.316217908578565,100.0,0.0
20,2,20,A*,15.045000000000002,28.0,0.0742990970611572,1120.0,20.0,0.7522500000000001,1.4,20.0,15.045000000000002,52.89605510331871,100.0,0.0
20,2,20,First Fit,18.755000000000003,72.0,0.0062270164489746,1600.0,20.0,0.9377500000000001,3.6,20.0,18.755000000000003,41.28052598622414,100.0,0.0
20,2,20,ABO,20.1025,40.0,7.820555210113525,800.0,20.0,1.005125,2.0,20.0,20.1025,37.06167814652472,100.0,0.0
20,2,20,FABO,24.70499999999999,40.0,9.524651050567629,800.0,20.0,1.2352499999999995,2.0,20.0,24.70499999999999,22.651847213525365,100.0,0.0
20,2,20,Best Fit,31.93999999999999,60.0,0.0045878887176513,1120.0,20.0,1.5969999999999995,3.0,20.0,31.93999999999999,0.0,100.0,0.0
20,3,20,A*,37.36375,52.0,0.2813386917114258,2320.0,20.0,1.8681875000000001,2.6,20.0,37.36375,33.95129927523422,100.0,0.0
20,3,20,Energy-Aware A*,44.688750000000006,70.0,1.0040795803070068,3220.0,20.0,2.2344375000000003,3.5,20.0,44.688750000000006,21.002739968181004,100.0,0.0
20,3,20,First Fit,47.06750000000001,97.0,0.0078635215759277,3270.0,20.0,2.3533750000000007,4.85,20.0,47.06750000000001,16.79777267102703,100.0,0.0
20,3,20,Best Fit,51.24,106.0,0.0074975490570068,3160.0,20.0,2.5620000000000003,5.3,20.0,51.24,9.421955099876255,100.0,0.0
20,3,20,ABO,54.57000000000001,95.0,19.35496425628662,2630.0,20.0,2.7285000000000004,4.75,20.0,54.57000000000001,3.5354428142124674,100.0,0.0
20,3,20,FABO,56.57,92.0,19.11073327064514,2600.0,20.0,2.8285,4.6,20.0,56.57,0.0,100.0,0.0
