num_slices,num_vnfs_per_slice,max_accepted_in_scenario,method,total_energy,total_latency,runtime_sec,total_bandwidth,accepted,energy_per_accepted,latency_per_accepted,accepted_round,gain_energy_vs_worst_%,gain_latency_vs_worst_%,gain_runtime_vs_worst_%,gain_energy_vs_baseline_%,gain_latency_vs_baseline_%,gain_runtime_vs_baseline_%
4,3,4,Energy-Aware A*,17.57,13.0,0.2347176074981689,610.0,4.0,4.3925,3.25,4.0,0.0,27.77777777777778,96.36974265981323,-12.035708592380049,-62.5,-231.20275330285332
6,2,6,ABO,4.365,12.0,2.5708558559417725,240.0,6.0,0.7275,2.0,6.0,70.91454272863568,42.857142857142854,0.5934550684154849,52.3861467139351,-100.0,-12473.110468505867
6,2,6,First Fit,7.1675,18.0,0.0013253688812255,240.0,6.0,1.1945833333333333,3.0,6.0,52.240546393469934,14.285714285714285,99.94875234216731,21.8161985274066,-200.0,93.51810825307288
6,2,6,A*,9.1675,6.0,0.0204472541809082,240.0,6.0,1.5279166666666668,1.0,6.0,38.913876395135766,71.42857142857143,99.20937189583607,0.0,0.0,0.0
6,2,6,Energy-Aware A*,9.4025,15.0,0.0429582595825195,600.0,6.0,1.5670833333333334,2.5,6.0,37.3479926703315,28.57142857142857,98.33894531601109,-2.563403326970269,-150.0,-110.09304820316676
6,2,6,Best Fit,11.33,21.0,0.0014536380767822,440.0,6.0,1.8883333333333334,3.5,6.0,24.504414459436948,0.0,99.94379259402663,-23.58876465775838,-250.0,92.8907907931253
6,2,6,FABO,15.0075,12.0,2.5862038135528564,240.0,6.0,2.50125,2.0,6.0,0.0,42.857142857142854,0.0,-63.70329970002726,-100.0,-12548.171684429004
6,3,6,First Fit,16.377499999999998,28.0,0.001551866531372,730.0,6.0,2.729583333333333,4.666666666666667,6.0,32.60288065843622,0.0,99.98489910133529,15.164465164465174,-133.33333333333331,98.57042140612205
6,3,6,ABO,17.0175,18.0,10.276650190353394,540.0,6.0,2.8362499999999997,3.0,6.0,29.969135802469143,35.714285714285715,0.0,11.849261849261856,-50.0,-9366.844494617942
6,3,6,FABO,18.0175,18.0,8.591209650039673,540.0,6.0,3.0029166666666662,3.0,6.0,25.853909465020585,35.714285714285715,16.400680271240812,6.669256669256677,-50.0,-7814.21759728009
