method,num_slices,num_vnfs_per_slice,avg_total_energy,std_total_energy,avg_acceptance_rate,avg_energy_per_accepted_slice,avg_runtime_sec
Energy-Aware A*,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.3893703460693359
FABO,16,2,22.004999999999995,0.0,1.0,1.3753124999999997,14.741182327270508
First Fit,16,2,17.205000000000002,0.0,1.0,1.0753125000000001,0.008036708831787061
MILP_Gurobi,16,2,0.0,0.0,0.0,,6.063423490524292
A*,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.16345429420471186
ABO,18,2,17.272499999999997,0.0,1.0,0.9595833333333331,14.33514575958252
Best Fit,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.056962585449218714
Energy-Aware A*,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.4454244613647461
FABO,18,2,22.834999999999997,0.0,1.0,1.268611111111111,16.55860571861267
First Fit,18,2,17.980000000000004,0.0,1.0,0.998888888888889,0.0091986179351806
MILP_Gurobi,18,2,0.0,0.0,0.0,,7.593135929107666
A*,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.18301715850830075
ABO,20,2,20.1025,0.0,1.0,1.005125,15.581103658676147
Best Fit,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.0615481853485107
Energy-Aware A*,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.5008376598358154
FABO,20,2,24.70499999999999,0.0,1.0,1.2352499999999995,18.216436338424682
First Fit,20,2,18.755000000000003,0.0,1.0,0.9377500000000001,0.0103730678558349
MILP_Gurobi,20,2,0.0,0.0,0.0,,2.208186674118042
A*,32,2,25.860000000000003,0.0,1.0,0.8081250000000001,0.25781602859497066
ABO,32,2,35.8,0.0,1.0,1.11875,20.31959733963013
Best Fit,32,2,25.860000000000003,0.0,1.0,0.8081250000000001,0.09232192039489742
Energy-Aware A*,32,2,27.980000000000008,0.0,1.0,0.8743750000000002,0.7734197616577149
FABO,32,2,36.67875,0.0,1.0,1.1462109375,24.968946266174317
First Fit,32,2,31.410000000000004,0.0,1.0,0.9815625000000001,0.01911573410034176
A*,64,2,38.19,0.0,0.6875,0.8679545454545454,0.29217948913574215
ABO,64,2,46.86374999999998,0.0,0.765625,0.9564030612244894,22.076036834716795
Best Fit,64,2,30.305,0.0,0.5625,0.8418055555555558,0.11493239402770991
Energy-Aware A*,64,2,48.58625,0.0,0.859375,0.8833863636363637,0.9808659553527832
FABO,64,2,51.78624999999998,0.0,0.859375,0.9415681818181815,27.91605257987976
First Fit,64,2,35.015,0.0,0.5625,0.9726388888888889,0.04591078758239742
A*,128,2,38.19,0.0,0.34375,0.8679545454545454,0.37526450157165525
ABO,128,2,46.86374999999998,0.0,0.3828125,0.9564030612244894,22.792334747314452
Best Fit,128,2,30.305,0.0,0.28125,0.8418055555555558,0.16221518516540523
Energy-Aware A*,128,2,48.58625,0.0,0.4296875,0.8833863636363637,1.0337109088897705
FABO,128,2,51.78624999999998,0.0,0.4296875,0.9415681818181815,28.466993236541747
First Fit,128,2,35.015,0.0,0.28125,0.9726388888888889,0.09922275543212886
A*,6,3,19.305,0.0,1.0,3.2175,0.28472328186035156
ABO,6,3,17.0175,0.0,1.0,2.8362499999999997,21.67281322479248
Best Fit,6,3,12.6925,0.0,1.0,2.115416666666667,0.030912303924560503
Energy-Aware A*,6,3,19.305,0.0,1.0,3.2175,0.7976194381713867
FABO,6,3,18.0175,0.0,1.0,3.0029166666666662,18.22638659477234
First Fit,6,3,16.377499999999998,0.0,1.0,2.729583333333333,0.00400738716125484
MILP_Gurobi,6,3,10.55,0.0,1.0,1.7583333333333335,0.06874246597290033
A*,8,3,21.59625,0.0,1.0,2.69953125,0.373389720916748
ABO,8,3,22.6975,0.0,1.0,2.8371875,25.889785766601562
Best Fit,8,3,16.264999999999997,0.0,1.0,2.0331249999999996,0.039930438995361264
Energy-Aware A*,8,3,21.59625,0.0,1.0,2.69953125,1.0364191055297851
FABO,8,3,26.328750000000003,0.0,1.0,3.2910937500000004,22.166751289367674
First Fit,8,3,22.741250000000004,0.0,1.0,2.8426562500000006,0.00520367622375484
MILP_Gurobi,8,3,11.760000000000002,0.0,1.0,1.4700000000000002,0.07157502174377438
A*,10,3,24.8875,0.0,1.0,2.48875,0.44644689559936523
ABO,10,3,27.8675,0.0,1.0,2.7867500000000005,29.916365337371825
Best Fit,10,3,21.8375,0.0,1.0,2.18375,0.04837412834167474
Energy-Aware A*,10,3,24.8875,0.0,1.0,2.48875,1.251949167251587
FABO,10,3,29.829999999999995,0.0,1.0,2.9829999999999997,25.87612328529358
First Fit,10,3,27.16875,0.0,1.0,2.7168750000000004,0.006571483612060519
MILP_Gurobi,10,3,17.05,0.0,1.0,1.705,0.13203282356262203
A*,12,3,28.22875,0.0,1.0,2.352395833333334,0.5072247982025146
ABO,12,3,35.228750000000005,0.0,1.0,2.935729166666667,33.510041904449466
Best Fit,12,3,25.410000000000004,0.0,1.0,2.1175,0.05716052055358882
Energy-Aware A*,12,3,28.2825,0.0,1.0,2.356875,1.413250780105591
FABO,12,3,36.235,0.0,1.0,3.0195833333333333,29.462609481811523
First Fit,12,3,30.64625000000001,0.0,1.0,2.5538541666666674,0.0077810764312743795
MILP_Gurobi,12,3,19.5025,0.0,1.0,1.6252083333333336,0.140143346786499
A*,16,3,33.99625000000001,0.0,1.0,2.1247656250000007,0.6067337989807129
ABO,16,3,45.16875000000001,0.0,1.0,2.8230468750000006,36.78969440460205
Best Fit,16,3,32.2025,0.0,1.0,2.01265625,0.06794862747192379
Energy-Aware A*,16,3,35.05000000000001,0.0,1.0,2.1906250000000007,2.4021198749542236
FABO,16,3,47.14124999999999,0.0,1.0,2.9463281249999995,34.834528017044065
First Fit,16,3,41.048750000000005,0.0,1.0,2.5655468750000003,0.01151967048645018
MILP_Gurobi,16,3,0.0,0.0,0.0,,5.528243112564087
A*,18,3,36.148750000000014,0.0,1.0,2.0082638888888895,0.6476124286651611
ABO,18,3,52.375000000000014,0.0,1.0,2.9097222222222228,37.43272728919983
Best Fit,18,3,32.81,0.0,0.9444444444444444,1.9300000000000002,0.0735212326049804
Energy-Aware A*,18,3,39.59000000000001,0.0,1.0,2.199444444444445,1.8423975944519042
FABO,18,3,50.16374999999999,0.0,1.0,2.7868749999999998,35.80151071548462
First Fit,18,3,43.59125,0.0,1.0,2.421736111111111,0.013100481033325178
MILP_Gurobi,18,3,0.0,0.0,0.0,,0.5555594444274903
A*,20,3,37.36375,0.0,1.0,1.8681875000000001,0.6806986808776856
ABO,20,3,54.57000000000001,0.0,1.0,2.7285000000000004,37.74739499092102
Best Fit,20,3,32.81,0.0,0.85,1.9300000000000002,0.0789994716644287
Energy-Aware A*,20,3,44.89000000000001,0.0,1.0,2.2445000000000004,1.9029417037963867
FABO,20,3,56.57000000000001,0.0,1.0,2.8285,36.57736692428589
First Fit,20,3,47.06750000000001,0.0,1.0,2.3533750000000007,0.015097618103027299
MILP_Gurobi,20,3,0.0,0.0,0.0,,0.6883476734161377
A*,32,3,53.455,0.0,0.84375,1.9798148148148145,0.7646070957183838
ABO,32,3,58.59749999999999,0.0,0.78125,2.3438999999999997,38.826967000961304
Best Fit,32,3,32.81,0.0,0.53125,1.9300000000000002,0.11690592765808101
Energy-Aware A*,32,3,54.49250000000001,0.0,0.84375,2.018240740740741,1.993924856185913
FABO,32,3,60.55749999999999,0.0,0.78125,2.4222999999999995,37.52737283706665
First Fit,32,3,47.89625000000001,0.0,0.65625,2.28077380952381,0.0255844116210937
A*,64,3,53.455,0.0,0.421875,1.9798148148148145,0.801499319076538
ABO,64,3,58.59749999999999,0.0,0.390625,2.3438999999999997,40.48436312675476
Best Fit,64,3,32.81,0.0,0.265625,1.9300000000000002,0.21027269363403317
Energy-Aware A*,64,3,54.49250000000001,0.0,0.421875,2.018240740740741,2.0740234375
FABO,64,3,60.55749999999999,0.0,0.390625,2.4222999999999995,39.21521911621094
First Fit,64,3,47.89625000000001,0.0,0.328125,2.28077380952381,0.053887653350830025
A*,128,3,53.455,0.0,0.2109375,1.9798148148148145,0.8730016708374023
ABO,128,3,58.59749999999999,0.0,0.1953125,2.3438999999999997,43.78584775924683
Best Fit,128,3,32.81,0.0,0.1328125,1.9300000000000002,0.4052584648132324
Energy-Aware A*,128,3,54.49250000000001,0.0,0.2109375,2.018240740740741,2.205335569381714
FABO,128,3,60.55749999999999,0.0,0.1953125,2.4222999999999995,42.5902816772461
First Fit,128,3,47.89625000000001,0.0,0.1640625,2.28077380952381,0.11115307807922359
A*,6,4,31.55625,0.0,1.0,5.2593749999999995,0.9239324569702149
ABO,6,4,29.49625000000001,0.0,1.0,4.9160416666666675,60.15981392860412
Best Fit,6,4,23.6725,0.0,1.0,3.9454166666666666,0.03542022705078122
Energy-Aware A*,6,4,31.55625,0.0,1.0,5.2593749999999995,3.4906683921813966
FABO,6,4,31.122499999999995,0.0,1.0,5.187083333333333,61.206659126281735
First Fit,6,4,25.215000000000003,0.0,1.0,4.202500000000001,0.0050723552703857
MILP_Gurobi,6,4,19.5375,0.0,1.0,3.25625,0.09494004249572749
A*,8,4,34.95250000000001,0.0,1.0,4.369062500000001,1.0793432712554931
ABO,8,4,37.00375,0.0,1.0,4.62546875,67.88536224365234
Best Fit,8,4,30.585,0.0,1.0,3.823125,0.043081521987914984
Energy-Aware A*,8,4,35.99625,0.0,1.0,4.49953125,3.973777008056641
FABO,8,4,39.633750000000006,0.0,1.0,4.954218750000001,68.30664830207824
First Fit,8,4,32.8125,0.0,1.0,4.1015625,0.00653538703918452
MILP_Gurobi,8,4,0.0,0.0,0.0,,13.9566960811615
A*,10,4,39.0825,0.0,1.0,3.9082500000000002,1.1902404308319092
ABO,10,4,47.5625,0.0,1.0,4.75625,73.53020024299622
Best Fit,10,4,38.28,0.0,1.0,3.8280000000000003,0.0475836277008056
Energy-Aware A*,10,4,42.01375,0.0,1.0,4.2013750000000005,4.221676445007324
FABO,10,4,49.695,0.0,1.0,4.9695,70.14907088279725
First Fit,10,4,38.780000000000015,0.0,1.0,3.8780000000000014,0.00806107521057122
MILP_Gurobi,10,4,0.0,0.0,0.0,,1.8343215465545655
A*,12,4,43.46,0.0,1.0,3.621666666666667,1.345461082458496
ABO,12,4,54.989999999999995,0.0,1.0,4.5825000000000005,77.29550795555114
Best Fit,12,4,38.28,0.0,0.8333333333333334,3.8280000000000003,0.05238451957702632
Energy-Aware A*,12,4,49.53125,0.0,1.0,4.127604166666667,4.361201429367066
FABO,12,4,49.695,0.0,0.8333333333333334,4.9695,70.92943682670594
First Fit,12,4,45.275000000000006,0.0,1.0,3.772916666666667,0.0097122192382812
MILP_Gurobi,12,4,0.0,0.0,0.0,,1.6287860870361328
A*,16,4,51.89375,0.0,0.9375,3.4595833333333332,1.3030652046203612
ABO,16,4,54.989999999999995,0.0,0.75,4.5825000000000005,77.31768155097961
Best Fit,16,4,38.28,0.0,0.625,3.8280000000000003,0.05667614936828608
Energy-Aware A*,16,4,54.015,0.0,0.875,3.8582142857142854,4.419030809402466
FABO,16,4,49.695,0.0,0.625,4.9695,71.46187901496887
First Fit,16,4,47.605,0.0,0.8125,3.6619230769230766,0.013850688934326139
A*,18,4,51.89375,0.0,0.8333333333333334,3.4595833333333332,1.3034960746765136
ABO,18,4,54.989999999999995,0.0,0.6666666666666666,4.5825000000000005,76.37383890151978
Best Fit,18,4,38.28,0.0,0.5555555555555556,3.8280000000000003,0.05999917984008783
Energy-Aware A*,18,4,54.015,0.0,0.7777777777777778,3.8582142857142854,4.4127569675445555
FABO,18,4,49.695,0.0,0.5555555555555556,4.9695,71.6358051776886
First Fit,18,4,47.605,0.0,0.7222222222222222,3.6619230769230766,0.015847301483154257
A*,20,4,51.89375,0.0,0.75,3.4595833333333332,1.3042298316955567
ABO,20,4,54.989999999999995,0.0,0.6,4.5825000000000005,76.4765826702118
Best Fit,20,4,38.28,0.0,0.5,3.8280000000000003,0.0643879890441894
Energy-Aware A*,20,4,54.015,0.0,0.7,3.8582142857142854,4.442811775207519
FABO,20,4,49.695,0.0,0.5,4.9695,72.02924518585205
First Fit,20,4,47.605,0.0,0.65,3.6619230769230766,0.01802172660827632
A*,32,4,51.89375,0.0,0.46875,3.4595833333333332,1.3224281787872314
ABO,32,4,54.989999999999995,0.0,0.375,4.5825000000000005,78.04738974571228
Best Fit,32,4,38.28,0.0,0.3125,3.8280000000000003,0.08519511222839347
Energy-Aware A*,32,4,54.015,0.0,0.4375,3.8582142857142854,4.521731662750244
FABO,32,4,49.695,0.0,0.3125,4.9695,73.91315922737121
First Fit,32,4,47.605,0.0,0.40625,3.6619230769230766,0.030167961120605418
A*,64,4,51.89375,0.0,0.234375,3.4595833333333332,1.3730695247650146
ABO,64,4,54.989999999999995,0.0,0.1875,4.5825000000000005,81.32089757919312
Best Fit,64,4,38.28,0.0,0.15625,3.8280000000000003,0.13895368576049805
Energy-Aware A*,64,4,54.015,0.0,0.21875,3.8582142857142854,4.714421367645263
FABO,64,4,49.695,0.0,0.15625,4.9695,76.75130128860474
First Fit,64,4,47.605,0.0,0.203125,3.6619230769230766,0.06305313110351556
A*,128,4,51.89375,0.0,0.1171875,3.4595833333333332,1.4689448356628418
ABO,128,4,54.989999999999995,0.0,0.09375,4.5825000000000005,88.75126953125
Best Fit,128,4,38.28,0.0,0.078125,3.8280000000000003,0.24443602561950678
Energy-Aware A*,128,4,54.015,0.0,0.109375,3.8582142857142854,5.12081127166748
FABO,128,4,49.695,0.0,0.078125,4.9695,84.34963726997375
First Fit,128,4,47.605,0.0,0.1015625,3.6619230769230766,0.1308587551116943
